序号,证券代码,证券简称,自由流通市值(亿元),总市值(亿元),申万一级行业,在原来数据中的序号
266,601985.XSHG,中国核电,246.09,820.3,公用事业,2597
267,601988.XSHG,中国银行,760.86,10627.4,银行,2598
268,601989.XSHG,中国重工,388.96,972.39,国防军工,2599
269,601991.XSHG,大唐发电,78.1,582.96,公用事业,2601
270,601992.XSHG,金隅集团,116.75,373.72,建筑材料,2602
271,601997.XSHG,贵阳银行,147.29,245.49,银行,2605
272,601998.XSHG,中信银行,167.03,2666.95,银行,2606
273,603156.XSHG,养元饮品,25.06,313.21,食品饮料,2719
274,603160.XSHG,汇顶科技,71.88,359.38,电子,2723
275,603259.XSHG,药明康德,78.47,871.93,医药生物,2788
276,603260.XSHG,合盛硅业,32.28,293.46,基础化工,2789
277,603288.XSHG,海天味业,557.53,1857.85,食品饮料,2802
278,603799.XSHG,华友钴业,149.9,249.84,有色金属,3041
279,603833.XSHG,欧派家居,100.51,335.05,轻工制造,3062
280,603858.XSHG,步长制药,112.03,224.07,医药生物,3070
281,603986.XSHG,兆易创新,88.7,177.39,电子,3146
282,603993.XSHG,洛阳钼业,265.69,812.13,有色金属,3153
